school,"date_year","day_of_year",event,round,"predicted_total","overall_ranking"
"Carmel IN",2024,319,"grand-national",prelims,"93.47",1
"Avon IN",2024,319,"grand-national",prelims,"93.35",2
"Broken Arrow OK",2024,319,"grand-national",prelims,"92.89",3
"William Mason OH",2024,319,"grand-national",prelims,"89.45",4
"DobynsBennett TN",2024,319,"grand-national",prelims,"88.68",5
"Fishers IN",2024,319,"grand-national",prelims,"87.81",6
"Brownsburg IN",2024,319,"grand-national",prelims,"87.68",7
"Tarpon Springs FL",2024,319,"grand-national",prelims,"86.10",8
"OFallon Township IL",2024,319,"grand-national",prelims,"84.64",9
"Centerville OH",2024,319,"grand-national",prelims,"84.61",10
"Castle IN",2024,319,"grand-national",prelims,"84.25",11
"Cedar Park TX",2024,319,"grand-national",prelims,"84.04",12
"Mustang OK",2024,319,"grand-national",prelims,"83.94",13
"American Fork UT",2024,319,"grand-national",prelims,"83.85",14
"Rosemount MN",2024,319,"grand-national",prelims,"83.83",15
"Franklin TN",2024,319,"grand-national",prelims,"83.63",16
"Marian Catholic IL",2024,319,"grand-national",prelims,"83.21",17
"Norwin PA",2024,319,"grand-national",prelims,"83.16",18
"Homestead IN",2024,319,"grand-national",prelims,"83.05",19
"Bartlett TN",2024,319,"grand-national",prelims,"82.79",20
"Bridgeland TX",2024,319,"grand-national",prelims,"82.70",21
"Leander TX",2024,319,"grand-national",prelims,"82.67",22
"Jenison MI",2024,319,"grand-national",prelims,"82.49",23
"Stoneman Douglas FL",2024,319,"grand-national",prelims,"82.47",24
"Center Grove IN",2024,319,"grand-national",prelims,"82.13",25
"Lakota East OH",2024,319,"grand-national",prelims,"82.06",26
"Jenks OK",2024,319,"grand-national",prelims,"82.05",27
"Murray KY",2024,319,"grand-national",prelims,"81.94",28
"Union OK",2024,319,"grand-national",prelims,"81.92",29
"Catawba Ridge SC",2024,319,"grand-national",prelims,"81.92",30
"Walled Lake MI",2024,319,"grand-national",prelims,"81.89",31
"Prosper TX",2024,319,"grand-national",prelims,"81.88",32
"Goshen IN",2024,319,"grand-national",prelims,"81.87",33
"Noblesville IN",2024,319,"grand-national",prelims,"81.86",34
"Westlake UT",2024,319,"grand-national",prelims,"81.83",35
"Clover SC",2024,319,"grand-national",prelims,"81.83",36
"Cheney WA",2024,319,"grand-national",prelims,"81.83",37
"Campbell County KY",2024,319,"grand-national",prelims,"81.83",38
"ReethsPuffer MI",2024,319,"grand-national",prelims,"81.83",39
"DeWitt MI",2024,319,"grand-national",prelims,"81.83",40
"South Point OH",2024,319,"grand-national",prelims,"81.83",41
"Christian Academy of Louisville KY",2024,319,"grand-national",prelims,"81.83",42
"Garrard County KY",2024,319,"grand-national",prelims,"81.83",43
"South Jones MS",2024,319,"grand-national",prelims,"81.82",44
"Rockford MI",2024,319,"grand-national",prelims,"81.82",45
"Bourbon County KY",2024,319,"grand-national",prelims,"81.82",46
"Deer Creek OK",2024,319,"grand-national",prelims,"81.78",47
"Panther Creek NC",2024,319,"grand-national",prelims,"81.75",48
"Friendswood TX",2024,319,"grand-national",prelims,"81.74",49
"Cass GA",2024,319,"grand-national",prelims,"81.66",50
"Argyle TX",2024,319,"grand-national",prelims,"81.66",51
"Ben Davis IN",2024,319,"grand-national",prelims,"81.62",52
"Floyd Central IN",2024,319,"grand-national",prelims,"81.59",53
"Lawrence Township IN",2024,319,"grand-national",prelims,"81.49",54
"Green Level NC",2024,319,"grand-national",prelims,"81.48",55
"DeSoto Central MS",2024,319,"grand-national",prelims,"81.45",56
"South Oldham KY",2024,319,"grand-national",prelims,"81.37",57
"Miamisburg OH",2024,319,"grand-national",prelims,"81.18",58
"Kickapoo MO",2024,319,"grand-national",prelims,"81.18",59
"Bob Jones AL",2024,319,"grand-national",prelims,"81.11",60
"Camdenton MO",2024,319,"grand-national",prelims,"81.06",61
"Anderson County KY",2024,319,"grand-national",prelims,"80.83",62
"Cary NC",2024,319,"grand-national",prelims,"80.65",63
"Milford OH",2024,319,"grand-national",prelims,"80.44",64
"Cambridge GA",2024,319,"grand-national",prelims,"80.07",65
"Greenfield Central IN",2024,319,"grand-national",prelims,"79.88",66
"Worthington Kilbourne OH",2024,319,"grand-national",prelims,"79.61",67
"Bellbrook OH",2024,319,"grand-national",prelims,"79.53",68
"Greendale WI",2024,319,"grand-national",prelims,"78.93",69
"Columbus IN",2024,319,"grand-national",prelims,"78.90",70
"Nixa MO",2024,319,"grand-national",prelims,"78.90",71
"Central Crossing OH",2024,319,"grand-national",prelims,"78.10",72
"Archbishop Alter OH",2024,319,"grand-national",prelims,"77.50",73
"Finneytown OH",2024,319,"grand-national",prelims,"76.23",74
"Dixie Heights KY",2024,319,"grand-national",prelims,"75.99",75
"Avon OH",2024,319,"grand-national",prelims,"75.45",76
"Pulaski County KY",2024,319,"grand-national",prelims,"74.99",77
"Monticello IL",2024,319,"grand-national",prelims,"74.85",78
"Colerain OH",2024,319,"grand-national",prelims,"74.33",79
"Springboro OH",2024,319,"grand-national",prelims,"73.52",80
"Boyle County KY",2024,319,"grand-national",prelims,"72.65",81
"Norton OH",2024,319,"grand-national",prelims,"71.83",82
"Owen County KY",2024,319,"grand-national",prelims,"71.72",83
"Hamilton OH",2024,319,"grand-national",prelims,"71.64",84
"Meade County KY",2024,319,"grand-national",prelims,"70.94",85
"West Carrollton OH",2024,319,"grand-national",prelims,"70.79",86
"Shawe Memorial IN",2024,319,"grand-national",prelims,"70.39",87
"Batesville IN",2024,319,"grand-national",prelims,"69.47",88
"Walter E Stebbins OH",2024,319,"grand-national",prelims,"68.76",89
"Newberry FL",2024,319,"grand-national",prelims,"67.22",90
"Lebanon OH",2024,319,"grand-national",prelims,"66.69",91
"John Hardin KY",2024,319,"grand-national",prelims,"66.57",92
"Hollister MO",2024,319,"grand-national",prelims,"66.09",93
"Tippecanoe OH",2024,319,"grand-national",prelims,"64.85",94
"ClintonMassie OH",2024,319,"grand-national",prelims,"64.14",95
"Monrovia IN",2024,319,"grand-national",prelims,"63.46",96
"East Clinton OH",2024,319,"grand-national",prelims,"63.06",97
"Carlisle OH",2024,319,"grand-national",prelims,"62.33",98
"Warren Local OH",2024,319,"grand-national",prelims,"61.52",99
"Herscher IL",2024,319,"grand-national",prelims,"60.94",100
